Label,Skin,MaxPrice,brands_in_view,SkinMatch_Leader_Brand,SkinMatch_Coverage,SkinMatch_AvgRating,SkinMatch_AvgPrice,Lift_Leader_Brand,Lift_Avg,Lift_HighCount,Distinct_Leader_Brand,Distinct_Avg,Distinct_Count
Eye cream,Normal,40,7,CLINIQUE,0.6,3.92,29.0,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
Eye cream,Normal,60,17,CLARINS,0.733,3.7,47.5,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
Eye cream,Normal,80,27,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
Eye cream,Normal,100,29,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
Eye cream,Normal,120,30,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
Eye cream,Normal,150,30,FRESH,0.733,3.9,58.0,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
Eye cream,Normal,200,31,FRESH,0.733,4.27,93.67,WANDER BEAUTY,1.232,2,WANDER BEAUTY,4.878,5
Eye cream,Oily,40,7,CLINIQUE,0.6,3.92,29.0,WANDER BEAUTY,1.2,1,WANDER BEAUTY,4.878,5
Eye cream,Oily,60,16,CLARINS,0.667,3.7,47.5,WANDER BEAUTY,1.2,1,WANDER BEAUTY,4.878,5
Eye cream,Oily,80,24,ALGENIST,0.667,3.77,71.67,WANDER BEAUTY,1.2,1,WANDER BEAUTY,4.878,5
Eye cream,Oily,100,26,ALGENIST,0.667,3.77,71.67,WANDER BEAUTY,1.2,1,WANDER BEAUTY,4.878,5
Eye cream,Oily,120,27,ALGENIST,0.667,3.77,71.67,WANDER BEAUTY,1.2,1,WANDER BEAUTY,4.878,5
Eye cream,Oily,150,27,ALGENIST,0.667,3.77,71.67,WANDER BEAUTY,1.2,1,WANDER BEAUTY,4.878,5
Eye cream,Oily,200,28,FRESH,0.733,4.5,116.5,WANDER BEAUTY,1.2,1,WANDER BEAUTY,4.878,5
Eye cream,Sensitive,40,5,CLINIQUE,0.6,3.92,29.0,LANEIGE,1.054,1,FIRST AID BEAUTY,2.205,3
Eye cream,Sensitive,60,11,CLARINS,0.733,3.7,47.5,LANEIGE,1.054,1,FIRST AID BEAUTY,2.205,3
Eye cream,Sensitive,80,18,CLARINS,0.733,3.6,53.33,LANEIGE,1.054,1,FIRST AID BEAUTY,2.205,3
Eye cream,Sensitive,100,20,CLARINS,0.733,3.75,61.25,LANEIGE,1.054,1,AMOREPACIFIC,2.319,6
Eye cream,Sensitive,120,21,CLARINS,0.733,3.75,61.25,LANEIGE,1.054,1,AMOREPACIFIC,2.319,6
Eye cream,Sensitive,150,21,CLARINS,0.733,3.75,61.25,LANEIGE,1.054,1,AMOREPACIFIC,2.319,6
Eye cream,Sensitive,200,23,FRESH,0.733,4.5,116.5,LANEIGE,1.054,1,SK-II,2.472,5
Face Mask,Combination,40,18,OLEHENRIKSEN,0.6,4.4,34.0,KIEHL'S SINCE 1851,1.061,0,DR ROEBUCK’S,4.36,6
Face Mask,Combination,60,26,CLARINS,0.733,4.35,47.0,KIEHL'S SINCE 1851,1.061,0,SUMMER FRIDAYS,4.534,4
Face Mask,Combination,80,32,CLARINS,0.733,4.53,56.67,KIEHL'S SINCE 1851,1.061,0,SUMMER FRIDAYS,4.534,4
Face Mask,Combination,100,34,CLARINS,0.733,4.53,56.67,KIEHL'S SINCE 1851,1.061,0,SUMMER FRIDAYS,4.534,4
Face Mask,Combination,120,34,CLARINS,0.733,4.53,56.67,KIEHL'S SINCE 1851,1.061,0,SUMMER FRIDAYS,4.534,4
Face Mask,Combination,150,37,CLARINS,0.733,4.53,56.67,KIEHL'S SINCE 1851,1.061,0,SUMMER FRIDAYS,4.534,4
Face Mask,Combination,200,38,CLARINS,0.733,4.53,56.67,KIEHL'S SINCE 1851,1.061,0,SUMMER FRIDAYS,4.534,4
Face Mask,Dry,40,18,OLEHENRIKSEN,0.6,4.4,34.0,KIEHL'S SINCE 1851,1.066,1,DR ROEBUCK’S,4.36,6
