Label,ingredients,count,share
Cleanser,Triethanolamine,11,0.0015886770652801848
Cleanser,Ascorbyl Glucoside,10,0.0014442518775274408
Cleanser,Benzyl Salicylate,10,0.0014442518775274408
Cleanser,Citral,10,0.0014442518775274408
Cleanser,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,10,0.0014442518775274408
Cleanser,Dipotassium Glycyrrhizate,10,0.0014442518775274408
Cleanser,PEG-40 Hydrogenated Castor Oil,10,0.0014442518775274408
Cleanser,Phenoxyethanol.,10,0.0014442518775274408
Cleanser,Polyquaternium-7,10,0.0014442518775274408
Cleanser,Titanium Dioxide (Ci 77891),10,0.0014442518775274408
Cleanser,Urea,10,0.0014442518775274408
Cleanser,Calcium Gluconate,9,0.0012998266897746968
Cleanser,Cellulose,9,0.0012998266897746968
Cleanser,Eucalyptus Globulus Leaf Oil,9,0.0012998266897746968
Cleanser,Fragrance (Parfum),9,0.0012998266897746968
Cleanser,Hamamelis Virginiana (Witch Hazel) Water,9,0.0012998266897746968
Cleanser,Melaleuca Alternifolia (Tea Tree) Leaf Oil,9,0.0012998266897746968
Cleanser,Niacinamide,9,0.0012998266897746968
Cleanser,PEG-100 Stearate,9,0.0012998266897746968
Cleanser,Peg-100 Stearate,9,0.0012998266897746968
Cleanser,Peg-8,9,0.0012998266897746968
Cleanser,Algae Extract,8,0.0011554015020219526
Cleanser,Behenyl Alcohol,8,0.0011554015020219526
Cleanser,Bht,8,0.0011554015020219526
Cleanser,Bisabolol,8,0.0011554015020219526
Cleanser,Ceteareth-20,8,0.0011554015020219526
Cleanser,Citrus Aurantium Dulcis (Orange) Fruit Extract,8,0.0011554015020219526
Cleanser,Citrus Limon (Lemon) Fruit Extract,8,0.0011554015020219526
Cleanser,Inositol,8,0.0011554015020219526
Cleanser,Ocimum Sanctum Leaf Extract,8,0.0011554015020219526
Cleanser,Papain,8,0.0011554015020219526
Cleanser,Parfum (Fragrance),8,0.0011554015020219526
Cleanser,Phytic Acid,8,0.0011554015020219526
Cleanser,Rosa Damascena Flower Oil,8,0.0011554015020219526
Cleanser,Sesamum Indicum (Sesame) Seed Oil,8,0.0011554015020219526
Cleanser,Sodium C14-16 Olefin Sulfonate,8,0.0011554015020219526
Cleanser,Sodium Cocoyl Glycinate,8,0.0011554015020219526
Cleanser,Sodium Lauroyl Glutamate,8,0.0011554015020219526
Cleanser,Sorbic Acid,8,0.0011554015020219526
Cleanser,Stearyl Alcohol,8,0.0011554015020219526
Cleanser,Yellow 5 (Ci 19140),8,0.0011554015020219526
Cleanser,Zinc Gluconate,8,0.0011554015020219526
Cleanser,Algae (Seaweed) Extract,7,0.0010109763142692085
Cleanser,Amyris Balsamifera Bark Oil,7,0.0010109763142692085
Cleanser,Benzophenone-4,7,0.0010109763142692085
Cleanser,Borago Officinalis Seed Oil,7,0.0010109763142692085
Cleanser,Butyrospermum Parkii (Shea) Butter,7,0.0010109763142692085
