brand,num_products,avg_price,avg_rating,avg_actives
ALGENIST,2,56.0,4.25,5.0
CAUDALIE,7,49.857142857142854,4.228571428571429,3.5714285714285716
CLINIQUE,4,46.5,3.825,5.75
DR. BRANDT SKINCARE,4,67.0,4.1,4.75
DR. DENNIS GROSS SKINCARE,3,67.0,4.466666666666667,1.3333333333333333
DR. JART+,3,44.666666666666664,4.233333333333333,7.0
DRUNK ELEPHANT,5,43.8,4.2,6.6
FIRST AID BEAUTY,4,39.5,4.35,8.25
GLAMGLOW,2,59.0,4.1,6.0
HERBIVORE,2,55.0,4.4,3.0
IT COSMETICS,3,41.333333333333336,3.8666666666666667,16.666666666666668
KATE SOMERVILLE,5,45.8,4.3,4.2
KIEHL'S SINCE 1851,4,51.75,4.025,4.0
KORRES,2,75.0,4.35,8.0
MOON JUICE,2,48.5,4.7,6.5
MURAD,5,58.0,4.34,7.6
OLEHENRIKSEN,4,50.25,4.325,7.0
ORIGINS,5,45.4,4.04,6.4
PEACE OUT,2,19.0,4.25,1.5
PERRICONE MD,2,64.5,4.4,4.0
PETER THOMAS ROTH,8,46.375,4.3125,4.0
REN CLEAN SKINCARE,4,50.25,4.225,1.25
